iter	RMSE
0	10461.04218
1	10228.83423
2	9989.80488
3	9779.350102
4	9556.761503
5	9339.646869
6	9123.829822
7	8909.885875
8	8694.58386
9	8495.059352
10	8341.004962
11	8170.768852
12	8003.275536
13	7839.242423
14	7665.70472
15	7500.676556
16	7342.224802
17	7178.776122
18	7032.005402
19	6897.294625
20	6788.879133
21	6639.973329
22	6530.120903
23	6419.391657
24	6299.67157
25	6197.786302
26	6081.459621
27	5957.633708
28	5830.71777
29	5724.630301
30	5624.202939
31	5536.017931
32	5451.786109
33	5343.992486
34	5275.804852
35	5198.234646
36	5097.990838
37	5001.764404
38	4939.441238
39	4848.382448
40	4773.336519
41	4706.985468
42	4645.62895
43	4596.210271
44	4530.428547
45	4465.525955
46	4409.670154
47	4331.613574
48	4287.176197
49	4223.058023
50	4168.647795
51	4121.991625
52	4062.273606
53	4006.180083
54	3960.116662
55	3915.724357
56	3857.552552
57	3807.208544
58	3767.511308
59	3737.049466
60	3695.579137
61	3660.814818
62	3627.647693
63	3585.829045
64	3549.884686
65	3521.14262
66	3500.001115
67	3460.441882
68	3433.196632
69	3405.320099
70	3374.075283
71	3344.187193
72	3324.326916
73	3304.338406
74	3278.560656
75	3260.133728
76	3226.824533
77	3206.158259
78	3188.241685
79	3160.368154
80	3139.514806
81	3116.201372
82	3090.063842
83	3075.356226
84	3054.867528
85	3027.626035
86	3006.124915
87	2984.915027
88	2971.236934
89	2953.604168
90	2933.651609
91	2916.780341
92	2905.386132
93	2889.758974
94	2866.881038
95	2852.263603
96	2839.234266
97	2825.019972
98	2813.37239
99	2794.172114
100	2784.806637
101	2772.098118
102	2759.783637
103	2749.477703
104	2736.802789
105	2722.383962
106	2709.750356
107	2702.381071
108	2694.512544
109	2682.778008
110	2667.097666
111	2657.538329
112	2650.182445
113	2640.27477
114	2633.872981
115	2619.926264
116	2608.691661
117	2601.404471
118	2589.379277
119	2579.511201
120	2573.427773
121	2569.072796
122	2560.197045
123	2553.645485
124	2547.880639
125	2540.226494
126	2532.327764
127	2518.186526
128	2513.865497
129	2505.6143
130	2502.300534
131	2496.692394
132	2486.979141
133	2481.036132
134	2475.271785
135	2466.462717
136	2455.907014
137	2449.559213
138	2442.951523
139	2436.600566
140	2426.993198
141	2421.322996
142	2415.710125
143	2411.163643
144	2403.770394
145	2398.43401
146	2394.306353
147	2387.087205
148	2381.284517
149	2375.05836
150	2366.070298
151	2358.824864
152	2352.863786
153	2349.36298
154	2343.494613
155	2335.946194
156	2327.57447
157	2320.175051
158	2315.077785
159	2308.656851
160	2303.862635
161	2298.665334
162	2294.554861
163	2287.650201
164	2280.3499
165	2274.263252
166	2269.444666
167	2267.726282
168	2262.514085
169	2257.568816
170	2250.634327
171	2244.077583
172	2240.44551
173	2233.714073
174	2229.824015
175	2224.305479
176	2220.855038
177	2215.27824
178	2210.643632
179	2207.948929
180	2202.980373
181	2198.524647
182	2192.053802
183	2183.536317
184	2177.838626
185	2170.931035
186	2166.813252
187	2161.166592
188	2158.240764
189	2150.219244
190	2144.964706
191	2139.985313
192	2134.13649
193	2130.401237
194	2127.37539
195	2118.410606
196	2111.36135
197	2108.242808
198	2105.043646
199	2097.444145
200	2090.685075
201	2084.685976
202	2081.320105
203	2075.185674
204	2069.062587
205	2065.76489
206	2060.358604
207	2056.795093
208	2054.368183
209	2049.656856
210	2046.470881
211	2040.330028
212	2034.275097
213	2027.956129
214	2023.301043
215	2020.329086
216	2016.240999
217	2011.937321
218	2006.548192
219	2002.404149
220	2000.569597
221	1998.236493
222	1994.238904
223	1989.664967
224	1985.833774
225	1982.075819
226	1976.545378
227	1973.353614
228	1970.907054
229	1967.898691
230	1965.55094
231	1961.113115
232	1957.103455
233	1952.59746
234	1947.384303
235	1944.07527
236	1942.519058
237	1936.694558
238	1933.293091
239	1929.965107
240	1927.265779
241	1925.366375
242	1923.986814
243	1920.870095
244	1917.715026
245	1913.76118
246	1909.810764
247	1907.925054
248	1904.980144
249	1900.641235
250	1897.127705
251	1895.222138
252	1891.312375
253	1888.013321
254	1884.430727
255	1882.668544
256	1880.976873
257	1877.405927
258	1875.653819
259	1873.338955
260	1871.793947
261	1869.948457
262	1867.631701
263	1866.16067
264	1863.719862
265	1862.136444
266	1860.654917
267	1858.567904
268	1857.084267
269	1854.144351
270	1851.907502
271	1849.490495
272	1848.068144
273	1846.727198
274	1843.534118
275	1842.169165
276	1839.10685
277	1836.819241
278	1835.589447
279	1834.440827
280	1831.474815
281	1830.344482
282	1827.259488
283	1823.798119
284	1820.317619
285	1819.135484
286	1818.097611
287	1816.894826
