iter	Passed	Remaining
0	1	1318
1	2	1261
2	3	1212
3	4	1198
4	5	1173
5	7	1181
6	8	1162
7	9	1146
8	10	1150
9	11	1142
10	12	1134
11	13	1128
12	14	1127
13	15	1125
14	17	1122
15	18	1121
16	19	1124
17	20	1123
18	21	1124
19	22	1125
20	24	1124
21	25	1123
22	26	1124
23	27	1123
24	28	1123
25	29	1123
26	31	1124
27	32	1126
28	33	1128
29	35	1139
30	36	1143
31	37	1143
32	38	1142
33	40	1144
34	41	1143
35	42	1141
36	43	1140
37	44	1138
38	46	1136
39	47	1134
40	48	1133
41	49	1132
42	50	1130
43	52	1131
44	53	1132
45	54	1133
46	55	1132
47	57	1132
48	58	1130
49	59	1128
50	60	1128
51	61	1125
52	62	1123
53	63	1119
54	65	1116
55	66	1114
56	67	1111
57	68	1107
58	69	1107
59	70	1110
60	72	1109
61	73	1108
62	74	1106
63	75	1106
64	76	1103
65	77	1101
66	79	1100
67	80	1099
68	81	1099
69	82	1102
70	84	1101
71	85	1101
72	86	1103
73	88	1104
74	89	1106
75	91	1108
76	92	1109
77	93	1109
78	95	1115
79	96	1115
80	98	1113
81	99	1111
82	100	1110
83	101	1108
84	102	1106
85	103	1103
86	104	1101
87	106	1099
88	107	1098
89	108	1096
90	109	1094
91	110	1094
92	112	1093
93	113	1093
94	114	1091
95	115	1090
96	117	1089
97	118	1087
98	119	1085
99	120	1084
100	121	1082
101	122	1081
102	124	1081
103	125	1081
104	126	1080
105	127	1075
106	128	1074
107	129	1072
108	130	1067
109	131	1065
110	132	1062
111	133	1056
112	134	1054
113	135	1052
114	136	1050
115	137	1048
116	138	1046
117	139	1045
118	140	1043
119	142	1041
120	143	1040
121	144	1040
122	145	1040
123	147	1039
124	148	1037
125	149	1036
126	150	1035
127	151	1034
128	153	1033
129	154	1033
130	155	1034
131	157	1033
132	158	1032
133	159	1032
134	161	1032
135	162	1033
136	163	1033
137	165	1033
138	167	1034
139	168	1035
140	169	1034
141	171	1033
142	172	1032
143	173	1030
144	174	1029
145	175	1028
146	177	1027
147	178	1027
148	179	1026
149	181	1026
150	182	1026
151	184	1027
152	185	1028
153	187	1028
154	188	1026
155	189	1025
156	190	1024
157	192	1027
158	193	1025
159	195	1025
160	196	1024
161	197	1023
162	198	1021
163	200	1020
164	201	1018
165	202	1017
166	203	1016
167	205	1016
168	206	1016
169	208	1016
170	209	1016
171	210	1015
172	212	1014
173	213	1013
174	214	1012
175	215	1010
176	216	1008
177	218	1006
178	219	1005
179	220	1005
180	221	1004
181	223	1003
182	224	1001
183	225	1000
184	226	998
185	227	996
186	228	995
187	230	993
188	231	993
189	232	993
190	234	992
191	235	992
192	237	992
193	238	992
194	240	993
195	242	992
196	243	992
197	245	992
198	246	993
199	248	993
200	249	992
201	251	991
202	252	991
203	254	991
204	255	991
205	257	991
206	258	990
207	259	988
208	261	988
209	262	988
210	264	988
211	265	987
212	267	986
213	268	986
214	269	985
215	270	983
216	272	981
217	273	980
218	274	978
219	275	977
220	277	977
221	278	977
222	280	977
223	281	976
224	283	976
225	284	975
226	286	975
227	287	974
228	289	973
229	290	972
230	291	971
231	293	970
232	294	968
233	295	967
234	296	966
235	298	966
236	299	965
237	301	964
238	302	963
239	304	962
240	305	961
241	306	960
242	308	960
243	309	959
244	310	957
245	311	956
246	313	955
247	314	954
248	316	953
249	317	952
250	318	950
251	319	949
252	321	947
253	322	946
254	323	944
255	324	944
256	326	942
257	327	941
258	328	939
259	329	938
260	331	937
261	332	935
262	333	934
263	334	933
264	336	931
265	337	930
266	338	928
267	339	927
268	340	926
269	341	924
270	343	923
271	344	921
272	345	921
273	347	920
274	348	919
275	350	918
276	351	916
277	352	914
278	353	913
279	355	912
280	356	911
281	357	910
282	358	909
283	360	908
284	361	908
285	363	906
286	364	905
287	365	904
288	367	902
289	368	901
290	369	899
291	370	898
292	371	896
293	372	895
294	373	893
295	374	891
296	376	890
297	377	889
298	379	889
299	381	889
300	382	888
301	383	887
302	385	886
303	386	885
304	388	884
305	389	883
306	391	882
307	392	882
308	394	881
309	395	880
310	396	879
311	398	878
312	399	876
313	400	875
314	401	874
315	403	872
316	404	871
317	405	869
318	406	868
319	408	867
320	409	866
321	410	865
322	412	864
323	413	862
324	414	860
325	415	859
326	417	858
327	418	857
328	419	855
329	420	854
330	422	852
331	423	851
332	424	849
333	425	848
334	426	846
335	427	845
336	428	843
337	430	842
338	431	840
339	432	839
340	433	837
341	434	835
342	435	834
343	436	832
344	437	831
345	439	830
346	440	828
347	441	826
348	442	825
349	443	824
350	444	822
351	446	821
352	447	819
353	448	818
354	449	816
355	450	815
356	452	814
357	453	813
358	454	811
359	455	810
360	457	809
361	458	808
362	459	806
363	460	805
364	462	804
365	463	802
366	464	800
367	465	799
368	466	798
369	468	797
370	469	795
371	470	794
372	471	793
373	473	791
374	474	790
375	475	789
376	477	788
377	478	787
378	479	786
379	481	784
380	482	783
381	483	782
382	484	781
383	486	780
384	487	778
385	488	777
386	489	775
387	490	774
388	492	773
389	493	771
390	494	770
391	496	769
392	497	768
393	499	767
394	500	766
395	501	765
396	503	764
397	504	763
398	506	762
399	507	761
400	509	760
401	510	759
402	511	758
403	512	756
404	514	755
405	515	754
406	516	752
407	517	751
408	519	750
409	520	748
410	521	747
411	523	746
412	524	745
413	525	744
414	527	743
415	528	741
416	529	740
417	530	738
418	531	736
419	532	735
420	533	734
421	534	732
422	535	730
423	536	729
424	537	727
425	539	726
426	540	724
427	541	723
428	542	721
429	543	720
430	544	718
431	545	717
432	546	716
433	548	714
434	549	713
435	550	712
436	551	710
437	552	709
438	553	707
439	554	706
440	556	705
441	557	703
442	558	702
443	559	700
444	560	699
445	561	698
446	563	696
447	564	695
448	566	694
449	567	693
450	568	692
451	570	691
452	571	690
453	573	689
454	574	687
455	575	686
456	576	685
457	578	684
458	579	683
459	581	682
460	582	680
461	583	679
462	585	678
463	586	677
464	587	676
465	588	674
466	590	673
467	591	672
468	593	671
469	594	670
470	595	669
471	597	668
472	598	666
473	599	665
474	601	664
475	602	663
476	603	661
477	604	660
478	605	658
479	607	657
480	608	656
481	609	655
482	610	653
483	612	652
484	613	651
485	614	649
486	615	648
487	616	647
488	618	645
489	619	644
490	620	643
491	621	641
492	623	640
493	624	639
494	625	638
495	627	637
496	628	636
497	629	634
498	630	633
499	631	631
500	633	630
501	634	629
502	635	627
503	636	626
504	637	625
505	639	623
506	640	622
507	641	621
508	642	619
509	643	618
510	644	616
511	645	615
512	647	614
513	648	613
514	650	612
515	651	610
516	652	609
517	653	608
518	654	606
519	655	605
520	657	604
521	658	602
522	659	601
523	660	599
524	661	598
525	662	597
526	664	595
527	665	594
528	666	593
529	667	591
530	668	590
531	669	589
532	670	587
533	672	586
534	673	585
535	674	583
536	676	583
537	677	581
538	678	580
539	680	579
540	681	578
541	682	576
542	683	575
543	684	574
544	686	572
545	687	571
546	688	570
547	689	568
548	690	567
549	691	565
550	692	564
551	694	563
552	695	562
553	696	560
554	697	559
555	699	558
556	700	557
557	701	555
558	702	554
559	704	553
560	705	551
561	706	550
562	707	549
563	708	547
564	710	546
565	711	545
566	712	544
567	713	542
568	715	541
569	716	540
570	717	539
571	718	537
572	719	536
573	721	535
574	722	533
575	723	532
576	724	531
577	726	530
578	727	528
579	728	527
580	729	526
581	730	524
582	732	523
583	733	522
584	734	521
585	735	519
586	736	518
587	737	517
588	739	515
589	740	514
590	741	513
591	742	512
592	744	510
593	745	509
594	746	508
595	747	506
596	749	505
597	750	504
598	751	502
599	752	501
600	754	500
601	755	499
602	756	498
603	758	497
604	759	496
605	761	494
606	762	493
607	763	492
608	765	491
609	766	490
610	768	489
611	769	487
612	771	486
613	772	485
614	774	484
615	775	483
616	776	482
617	778	481
618	779	480
619	781	478
620	782	477
621	783	476
622	785	475
623	786	473
624	787	472
625	788	471
626	789	469
627	791	468
628	792	467
629	793	465
630	794	464
631	795	463
632	796	461
633	797	460
634	798	459
635	799	457
636	800	456
637	802	455
638	803	453
639	804	452
640	805	451
641	807	450
642	808	449
643	809	447
644	811	446
645	812	445
646	813	443
647	814	442
648	816	441
649	817	440
650	818	438
651	820	437
652	821	436
653	822	435
654	824	434
655	825	432
656	826	431
657	827	430
658	829	429
659	830	428
660	832	426
661	833	425
662	835	424
663	836	423
664	837	421
665	838	420
666	839	419
667	840	417
668	842	416
669	843	415
670	844	414
671	845	412
672	846	411
673	848	410
674	849	408
675	850	407
676	851	406
677	852	405
678	854	403
679	855	402
680	856	401
681	857	399
682	858	398
683	860	397
684	861	396
685	862	394
686	863	393
687	865	392
688	866	391
689	867	389
690	868	388
691	870	387
692	871	386
693	872	384
694	874	383
695	875	382
696	876	381
697	877	379
698	879	378
699	880	377
700	882	376
701	883	375
702	885	373
703	886	372
704	887	371
705	889	370
706	890	369
707	891	367
708	892	366
709	893	365
710	895	363
711	896	362
712	897	361
713	898	360
714	900	358
715	901	357
716	902	356
717	903	354
718	904	353
719	905	352
720	907	351
721	908	349
722	910	348
723	911	347
724	912	346
725	914	345
726	915	343
727	916	342
728	918	341
729	919	340
730	920	338
731	922	337
732	923	336
733	925	335
734	926	334
735	928	332
736	929	331
737	931	330
738	932	329
739	934	328
740	935	326
741	936	325
742	938	324
743	939	323
744	940	322
745	942	320
746	943	319
747	944	318
748	946	317
749	947	315
750	948	314
751	950	313
752	951	312
753	952	310
754	953	309
755	955	308
756	956	307
757	957	305
758	959	304
759	960	303
760	961	302
761	962	300
762	964	299
763	966	298
764	967	297
765	969	296
766	971	294
767	972	293
768	973	292
769	974	291
770	976	289
771	977	288
772	978	287
773	980	286
774	981	285
775	983	283
776	984	282
777	986	281
778	987	280
779	988	278
780	990	277
781	991	276
782	992	275
783	993	273
784	994	272
785	995	271
786	997	269
787	998	268
788	999	267
789	1001	266
790	1002	264
791	1003	263
792	1005	262
793	1006	261
794	1007	259
795	1009	258
796	1010	257
797	1011	256
798	1013	254
799	1015	253
800	1016	252
801	1018	251
802	1019	250
803	1020	248
804	1022	247
805	1023	246
806	1024	245
807	1025	243
808	1027	242
809	1028	241
810	1029	239
811	1030	238
812	1032	237
813	1033	236
814	1035	234
815	1036	233
816	1037	232
817	1038	231
818	1040	229
819	1041	228
820	1042	227
821	1044	226
822	1045	224
823	1046	223
824	1048	222
825	1049	221
826	1050	219
827	1052	218
828	1053	217
829	1054	216
830	1056	214
831	1057	213
832	1059	212
833	1060	211
834	1062	209
835	1063	208
836	1064	207
837	1066	206
838	1067	204
839	1069	203
840	1070	202
841	1072	201
842	1073	199
843	1075	198
844	1076	197
845	1078	196
846	1079	195
847	1081	193
848	1082	192
849	1083	191
850	1085	190
851	1086	188
852	1088	187
853	1089	186
854	1090	185
855	1092	183
856	1093	182
857	1095	181
858	1096	179
859	1097	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1104	172
865	1105	171
866	1107	169
867	1108	168
868	1109	167
869	1110	165
870	1112	164
871	1113	163
872	1114	162
873	1116	160
874	1117	159
875	1119	158
876	1120	157
877	1121	155
878	1122	154
879	1124	153
880	1125	152
881	1126	150
882	1128	149
883	1129	148
884	1130	146
885	1132	145
886	1133	144
887	1135	143
888	1136	141
889	1138	140
890	1139	139
891	1140	138
892	1142	136
893	1143	135
894	1145	134
895	1146	133
896	1147	131
897	1149	130
898	1150	129
899	1152	128
900	1153	126
901	1155	125
902	1156	124
903	1157	122
904	1158	121
905	1160	120
906	1161	119
907	1162	117
908	1163	116
909	1164	115
910	1166	113
911	1167	112
912	1168	111
913	1169	110
914	1170	108
915	1171	107
916	1172	106
917	1173	104
918	1175	103
919	1176	102
920	1177	100
921	1178	99
922	1179	98
923	1180	97
924	1182	95
925	1183	94
926	1184	93
927	1185	92
928	1186	90
929	1188	89
930	1189	88
931	1190	86
932	1191	85
933	1192	84
934	1193	82
935	1194	81
936	1195	80
937	1196	79
938	1198	77
939	1199	76
940	1200	75
941	1201	74
942	1203	72
943	1204	71
944	1206	70
945	1207	68
946	1208	67
947	1209	66
948	1210	65
949	1211	63
950	1213	62
951	1214	61
952	1215	59
953	1216	58
954	1217	57
955	1218	56
956	1219	54
957	1220	53
958	1221	52
959	1223	50
960	1224	49
961	1226	48
962	1227	47
963	1228	45
964	1230	44
965	1231	43
966	1232	42
967	1233	40
968	1235	39
969	1236	38
970	1237	36
971	1239	35
972	1240	34
973	1241	33
974	1242	31
975	1243	30
976	1245	29
977	1246	28
978	1247	26
979	1248	25
980	1249	24
981	1251	22
982	1252	21
983	1253	20
984	1254	19
985	1256	17
986	1257	16
987	1258	15
988	1260	14
989	1261	12
990	1262	11
991	1263	10
992	1265	8
993	1266	7
994	1267	6
995	1268	5
996	1270	3
997	1271	2
998	1272	1
999	1274	0
